"ipm_id","env_variable","vr_expr_name","env_range","env_function","model_type"
"aaaa59","MeanprecipitationMay","mp_may_high","105.63","NULL","Parameter"
"aaaa59","MeanprecipitationMay","mp_may","NULL","Unif(mp_may_low, mp_may_high)","Substituted"
"aaaa60","Lux","par_low","0.1","NULL","Parameter"
"aaaa60","Lux","par_high","0.57999999999999996","NULL","Parameter"
"aaaa60","Lux","PAR","NULL","Unif(par_low, par_high)","Substituted"
"aaaa60","NitrificationRate","ni_low","0.02","NULL","Parameter"
"aaaa60","NitrificationRate","ni_high","2.64","NULL","Parameter"
"aaaa60","NitrificationRate","Ni","NULL","Unif(ni_low, ni_high)","Substituted"
"aaaa60","AveragepH","ph_low","4.22","NULL","Parameter"
"aaaa60","AveragepH","ph_high","6.8","NULL","Parameter"
"aaaa60","AveragepH","pH","NULL","Unif(ph_low, ph_high)","Substituted"
"aaaa60","MeanTempWarmestMonth","wrm_mt_low","19.39","NULL","Parameter"
"aaaa60","MeanTempWarmestMonth","wrm_mt_high","22.39","NULL","Parameter"
"aaaa60","MeanTempWarmestMonth","mt.warm.month","NULL","Unif(wrm_mt_low, wrm_mt_high)","Substituted"
"aaaa60","MeanprecipitationMay","mp_may_low","71.040000000000006","NULL","Parameter"
"aaaa60","MeanprecipitationMay","mp_may_high","105.63","NULL","Parameter"
"aaaa60","MeanprecipitationMay","mp.may","NULL","Unif(mp_may_low, mp_may_high)","Substituted"
"aaaaa0","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa0","tot_rain","av_rain","485","NULL","Parameter"
"aaaaa0","tot_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa0","tot_rain","SE_rain","5.0199999999999996","NULL","Parameter"
"aaaaa0","tot_rain","n_env","37","NULL","Parameter"
"aaaaa0","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa0","base_temp","base_temp","14.3","NULL","Parameter"
"aaaaa0","mean_temp","mean_t_low","6.9","NULL","Parameter"
"aaaaa0","mean_temp","mean_t_high","24","NULL","Parameter"
"aaaaa0","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp, mean_t_low, mean_t_high)","Substituted"
"aaaaa0","av_temp","av_temp","14.3","NULL","Parameter"
"aaaaa0","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa0","SE_temp","SE_temp","0.23","NULL","Parameter"
"aaaaa1","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa1","av_rain","av_rain","485","NULL","Parameter"
"aaaaa1","sd_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa1","SE_rain","SE_rain","5.0199999999999996","NULL","Parameter"
"aaaaa1","n_env","n_env","37","NULL","Parameter"
"aaaaa1","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa1","base_temp","base_temp","14.3",NA,"Parameter"
"aaaaa1","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp)","Substituted"
"aaaaa1","av_temp","av_temp","14.3",NA,"Parameter"
"aaaaa1","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa1","SE_temp","SE_temp","0.23",NA,"Parameter"
"aaaaa2","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa2","av_rain","av_rain","485",NA,"Parameter"
"aaaaa2","sd_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa2","SE_rain","SE_rain","5.0199999999999996",NA,"Parameter"
"aaaaa2","n_env","n_env","37",NA,"Parameter"
"aaaaa2","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa2","base_temp","base_temp","14.3",NA,"Parameter"
"aaaaa2","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp)","Substituted"
"aaaaa2","av_temp","av_temp","14.3",NA,"Parameter"
"aaaaa2","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa2","SE_temp","SE_temp","0.23",NA,"Parameter"
"aaaaa3","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa3","av_rain","av_rain","485",NA,"Parameter"
"aaaaa3","sd_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa3","SE_rain","SE_rain","5.0199999999999996",NA,"Parameter"
"aaaaa3","n_env","n_env","37",NA,"Parameter"
"aaaaa3","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa3","base_temp","base_temp","14.3",NA,"Parameter"
"aaaaa3","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp)","Substituted"
"aaaaa3","av_temp","av_temp","14.3",NA,"Parameter"
"aaaaa3","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa3","SE_temp","SE_temp","0.23",NA,"Parameter"
"aaaaa4","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa4","av_rain","av_rain","485",NA,"Parameter"
"aaaaa4","sd_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa4","SE_rain","SE_rain","5.0199999999999996",NA,"Parameter"
"aaaaa4","n_env","n_env","37",NA,"Parameter"
"aaaaa4","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa4","base_temp","base_temp","14.3",NA,"Parameter"
"aaaaa4","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp)","Substituted"
"aaaaa4","av_temp","av_temp","14.3",NA,"Parameter"
"aaaaa4","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa4","SE_temp","SE_temp","0.23",NA,"Parameter"
"aaaaa5","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa5","av_rain","av_rain","485",NA,"Parameter"
"aaaaa5","sd_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa5","SE_rain","SE_rain","5.0199999999999996",NA,"Parameter"
"aaaaa5","n_env","n_env","37",NA,"Parameter"
"aaaaa5","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa5","base_temp","base_temp","14.3",NA,"Parameter"
"aaaaa5","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp)","Substituted"
"aaaaa5","av_temp","av_temp","14.3",NA,"Parameter"
"aaaaa5","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa5","SE_temp","SE_temp","0.23",NA,"Parameter"
"aaaaa6","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa6","av_rain","av_rain","485",NA,"Parameter"
"aaaaa6","sd_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa6","SE_rain","SE_rain","5.0199999999999996",NA,"Parameter"
"aaaaa6","n_env","n_env","37",NA,"Parameter"
"aaaaa6","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa6","base_temp","base_temp","14.3",NA,"Parameter"
"aaaaa6","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp)","Substituted"
"aaaaa6","av_temp","av_temp","14.3",NA,"Parameter"
"aaaaa6","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa6","SE_temp","SE_temp","0.23",NA,"Parameter"
"aaaaa7","tot_rain","tot_rain","NULL","Norm(av_rain, sd_rain)","Substituted"
"aaaaa7","av_rain","av_rain","485",NA,"Parameter"
"aaaaa7","sd_rain","sd_rain","NULL","SE_rain * sqrt(n_env)","Evaluated"
"aaaaa7","SE_rain","SE_rain","5.0199999999999996",NA,"Parameter"
"aaaaa7","n_env","n_env","37",NA,"Parameter"
"aaaaa7","d_temp","d_temp","NULL","base_temp - mean_temp","Evaluated"
"aaaaa7","base_temp","base_temp","14.3",NA,"Parameter"
"aaaaa7","mean_temp","mean_temp","6.9;24","TNorm(av_temp, sd_temp)","Substituted"
"aaaaa7","av_temp","av_temp","14.3",NA,"Parameter"
"aaaaa7","sd_temp","sd_temp","NULL","SE_temp * sqrt(n_env)","Evaluated"
"aaaaa7","SE_temp","SE_temp","0.23",NA,"Parameter"
"bbbb10","t_s","t_s",NA,NA,NA
"bbbb10","ba_s","ba_s",NA,NA,NA
"bbbb10","prec_g","prec_g",NA,NA,NA
"bbbb10","ba_g","ba_g",NA,NA,NA
"bbbb10","pa_g","pa_g",NA,NA,NA
"bbbb10","lambda","lambda",NA,NA,NA
"bbbb11","prec_s","prec_s",NA,NA,NA
"bbbb11","t_s","t_s",NA,NA,NA
"bbbb11","ba_s","ba_s",NA,NA,NA
"bbbb11","pa_s","pa_s",NA,NA,NA
"bbbb11","ta_s","ta_s",NA,NA,NA
"bbbb11","ba_g","ba_g",NA,NA,NA
"bbbb11","pa_g","pa_g",NA,NA,NA
"bbbb11","ta_g","ta_g",NA,NA,NA
"bbbb11","lambda","lambda",NA,NA,NA
"bbbb11","prec_rec","prec_rec",NA,NA,NA
"bbbb11","t_rec","t_rec",NA,NA,NA
"bbbb11","ba_rec","ba_rec",NA,NA,NA
"bbbb11","pta_rec","pta_rec",NA,NA,NA
"bbbb12","prec_s","prec_s",NA,NA,NA
"bbbb12","t_s","t_s",NA,NA,NA
"bbbb12","ba_s","ba_s",NA,NA,NA
"bbbb12","pa_s","pa_s",NA,NA,NA
"bbbb12","ta_s","ta_s",NA,NA,NA
"bbbb12","t_g","t_g",NA,NA,NA
"bbbb12","ba_g","ba_g",NA,NA,NA
"bbbb12","pa_g","pa_g",NA,NA,NA
"bbbb12","ta_g","ta_g",NA,NA,NA
"bbbb12","pta_g","pta_g",NA,NA,NA
"bbbb12","lambda","lambda",NA,NA,NA
"bbbb12","ba_rec","ba_rec",NA,NA,NA
"bbbb12","ta_rec","ta_rec",NA,NA,NA
"bbbb12","pta_rec","pta_rec",NA,NA,NA
"bbbb13","prec_s","prec_s",NA,NA,NA
"bbbb13","t_s","t_s",NA,NA,NA
"bbbb13","ta_s","ta_s",NA,NA,NA
"bbbb13","pta_s","pta_s",NA,NA,NA
"bbbb13","t_g","t_g",NA,NA,NA
"bbbb13","pa_g","pa_g",NA,NA,NA
"bbbb13","ta_g","ta_g",NA,NA,NA
"bbbb13","pta_g","pta_g",NA,NA,NA
"bbbb13","lambda","lambda",NA,NA,NA
"bbbb13","ba_rec","ba_rec",NA,NA,NA
"bbbb14","prec_s","prec_s",NA,NA,NA
"bbbb14","t_s","t_s",NA,NA,NA
"bbbb14","ba_s","ba_s",NA,NA,NA
"bbbb14","ta_s","ta_s",NA,NA,NA
"bbbb14","pta_s","pta_s",NA,NA,NA
"bbbb14","ba_g","ba_g",NA,NA,NA
"bbbb14","pa_g","pa_g",NA,NA,NA
"bbbb14","ta_g","ta_g",NA,NA,NA
"bbbb14","lambda","lambda",NA,NA,NA
"bbbb14","prec_rec","prec_rec",NA,NA,NA
"bbbb14","ba_rec","ba_rec",NA,NA,NA
"bbbb14","pta_rec","pta_rec",NA,NA,NA
"bbbb15","prec_s","prec_s",NA,NA,NA
"bbbb15","t_s","t_s",NA,NA,NA
"bbbb15","ba_s","ba_s",NA,NA,NA
"bbbb15","pa_s","pa_s",NA,NA,NA
"bbbb15","ta_s","ta_s",NA,NA,NA
"bbbb15","pta_s","pta_s",NA,NA,NA
"bbbb15","prec_g","prec_g",NA,NA,NA
"bbbb15","t_g","t_g",NA,NA,NA
"bbbb15","ba_g","ba_g",NA,NA,NA
"bbbb15","ta_g","ta_g",NA,NA,NA
"bbbb15","lambda","lambda",NA,NA,NA
"bbbb15","prec_rec","prec_rec",NA,NA,NA
"bbbb15","t_rec","t_rec",NA,NA,NA
"bbbb15","ba_rec","ba_rec",NA,NA,NA
"bbbb16","prec_s","prec_s",NA,NA,NA
"bbbb16","t_s","t_s",NA,NA,NA
"bbbb16","ba_s","ba_s",NA,NA,NA
"bbbb16","ta_s","ta_s",NA,NA,NA
"bbbb16","prec_g","prec_g",NA,NA,NA
"bbbb16","t_g","t_g",NA,NA,NA
"bbbb16","ba_g","ba_g",NA,NA,NA
"bbbb16","lambda","lambda",NA,NA,NA
"bbbb16","ba_rec","ba_rec",NA,NA,NA
"bbbb16","pta_rec","pta_rec",NA,NA,NA
"bbbb17","prec_s","prec_s",NA,NA,NA
"bbbb17","t_s","t_s",NA,NA,NA
"bbbb17","ta_s","ta_s",NA,NA,NA
"bbbb17","pta_s","pta_s",NA,NA,NA
"bbbb17","t_g","t_g",NA,NA,NA
"bbbb17","ba_g","ba_g",NA,NA,NA
"bbbb17","pta_g","pta_g",NA,NA,NA
"bbbb17","lambda","lambda",NA,NA,NA
"bbbb17","prec_rec","prec_rec",NA,NA,NA
"bbbb17","t_rec","t_rec",NA,NA,NA
"bbbb17","ba_rec","ba_rec",NA,NA,NA
"bbbb18","prec_s","prec_s",NA,NA,NA
"bbbb18","t_s","t_s",NA,NA,NA
"bbbb18","ba_s","ba_s",NA,NA,NA
"bbbb18","pa_s","pa_s",NA,NA,NA
"bbbb18","ta_s","ta_s",NA,NA,NA
"bbbb18","pta_s","pta_s",NA,NA,NA
"bbbb18","prec_g","prec_g",NA,NA,NA
"bbbb18","t_g","t_g",NA,NA,NA
"bbbb18","ba_g","ba_g",NA,NA,NA
"bbbb18","pa_g","pa_g",NA,NA,NA
"bbbb18","lambda","lambda",NA,NA,NA
