"ipm_id"	"kernel_id"	"formula"	"model_family"	"domain_start"	"domain_end"
"aaaa35"	"F"	"F = r * fn * pE * d  * d_lnsize"	"CC"	"lnsize"	"lnsize"
"aaaa36"	"P"	"P = s * g * d_lnsize"	"CC"	"lnsize"	"lnsize"
"aaaa36"	"F"	"F = r * fn * pE * d  * d_lnsize"	"CC"	"lnsize"	"lnsize"
"aaaa37"	"P"	"P = s * g * d_lnsize"	"CC"	"lnsize"	"lnsize"
"aaaa37"	"F"	"F = r * fn * pE * d  * d_lnsize"	"CC"	"lnsize"	"lnsize"
"aaaa38"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa38"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa39"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa39"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa40"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl"	"CC"	"nleaves"	"nleaves"
"aaaa40"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size"	"CC"	"nleaves"	"nleaves"
"aaaa41"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa41"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa42"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa42"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa43"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa43"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa44"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa44"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa45"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa45"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa46"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa46"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa47"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa47"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa48"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa48"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa49"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa49"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa50"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa50"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa51"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa51"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa52"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa52"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa53"	"P_yr_pl"	"P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa53"	"F_yr_pl"	"F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves"	"CC"	"nleaves"	"nleaves"
"aaaa54"	"P"	"P = p_s * (1-p_f)* g"	"CC"	"lnleaf"	"lnleaf"
"aaaa54"	"F"	"F = p_s * p_f * f_n * rcsz * p_r"	"CC"	"lnleaf"	"lnleaf"
"aaaa55"	"P_yr"	"P_yr = s_yr * g_yr * d_lnsize"	"CC"	"lnsize"	"lnsize"
"aaaa55"	"B1_yr"	"B1_yr = kappa * delta * p * f * d_lnsize"	"CD"	"lnsize"	"b1"
"aaaa55"	"B2_yr"	"go_B2 = 1 - iota1"	"DD"	"b1"	"b2"
"aaaa55"	"B1C_yr"	"B1C_yr =  iota1 * eta * s_r * d_lnsize"	"DC"	"b1"	"lnsize"
"aaaa55"	"B2C_yr"	"B2C_yr = iota2  * eta * s_r * d_lnsize"	"DC"	"b2"	"lnsize"
"aaaa56"	"P_tsf_ctl_site_block"	"P_tsf_ctl_site_block = s_tsf_ctl_site * g_tsf_ctl_site + F_tsf_ctl_site_block * d_logsize"	"CC"	"logsize"	"logsize"
"aaaa56"	"F_tsf_ctl_site_block"	"F_tsf_ctl_site_block = f1_tsf_ctl_site * f2_tsf_ctl_site * f3 * sdl_s_tsf_ls * goCont_tsf_block * f4_tsf_ctl_site * d_logsize"	"CC"	"logsize"	"logsize"
"aaaa56"	"leaveSB_tsf_block"	"leaveSB_tsf_block = SBout_tsf_block *  d_logsize"	"DC"	"seedbank"	"logsize"
"aaaa56"	"goSB_tsf_ctl_site_block"	"goSB_tsf_ctl_site_block = f0_tsf_ctl_site * f1_tsf_ctl_site * f2_tsf_ctl_site * sdl_s_tsf_ls * goSB_tsf_block * d_logsize"	"CD"	"logsize"	"seedbank"
"aaaa56"	"staySB_tsf_block"	"staySB_tsf_ctl_site_block = STAYseed_tsf_block"	"DD"	"seedbank"	"seedbank"
"aaaa57"	"P_0"	"P_0 = s * g * (1 - fl_p_0)"	"CC"	"logrosette_0"	"logrosette_1"
"aaaa57"	"F_1"	"F_1 = fl_p_1 * f_s * germ_p * ss_p * sdl_size"	"CC"	"logrosette_1"	"logrosette_0"
"aaaa58"	"P_0"	"P_0 = s * g * (1 - fl_p_0)"	"CC"	"logrosette_0"	"logrosette_1"
"aaaa58"	"F_1"	"F_1 = fl_p_1 * f_s * germ_p * ss_p * sdl_size"	"CC"	"logrosette_1"	"logrosette_0"
"aaaa59"	"P"	"P = s * g * d_logarea"	"CC"	"logarea"	"logarea"
"aaaa59"	"F"	"F = f_s * fl_p * germ_p * sdl_size * d_logarea"	"CC"	"logarea"	"logarea"
"aaaa60"	"P"	"P = s * g"	"CC"	"logarea"	"logarea"
"aaaa60"	"F"	"F = f_s * fl_p * germ_p * sdl_size"	"CC"	"logarea"	"logarea"
"aaaa61"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa61"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa62"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa62"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
