"ipm_id"	"demographic_parameter"	"formula"	"model_type"	"kernel_id"
"aaaaa3"	"Fecundity"	"kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa3"	"Fecundity"	"f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)"	"Substituted"	"F"
"aaaaa3"	"Fecundity"	"mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa3"	"Fecundity"	"nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa4"	"Survival"	"s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))"	"Evaluated"	"P"
"aaaaa4"	"Survival"	"alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa4"	"Survival"	"beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa4"	"Growth"	"g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/g_gam"	"Evaluated"	"P"
"aaaaa4"	"Growth"	"g_gam = Gamma(zeta+eta*size_2)"	"Substituted"	"P"
"aaaaa4"	"Growth"	"gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp"	"Evaluated"	"P"
"aaaaa4"	"Growth"	"delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa4"	"Growth"	"epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp"	"Evaluated"	"P"
"aaaaa4"	"Growth"	"zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp"	"Evaluated"	"P"
"aaaaa4"	"Growth"	"eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa4"	"Growth"	"y = gamma + delta * size_2^epsilon"	"Evaluated"	"P"
"aaaaa4"	"Fecundity"	"f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))"	"Evaluated"	"F"
"aaaaa4"	"Fecundity"	"theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa4"	"Fecundity"	"iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa4"	"Fecundity"	"kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa4"	"Fecundity"	"f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)"	"Substituted"	"F"
"aaaaa4"	"Fecundity"	"mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa4"	"Fecundity"	"nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa5"	"Survival"	"s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))"	"Evaluated"	"P"
"aaaaa5"	"Survival"	"alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa5"	"Survival"	"beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa5"	"Growth"	"g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/g_gam"	"Evaluated"	"P"
"aaaaa5"	"Growth"	"g_gam = Gamma(zeta+eta*size_2)"	"Substituted"	"P"
"aaaaa5"	"Growth"	"gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp"	"Evaluated"	"P"
"aaaaa5"	"Growth"	"delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa5"	"Growth"	"epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp"	"Evaluated"	"P"
"aaaaa5"	"Growth"	"zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp"	"Evaluated"	"P"
"aaaaa5"	"Growth"	"eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa5"	"Growth"	"y = gamma + delta * size_2^epsilon"	"Evaluated"	"P"
"aaaaa5"	"Fecundity"	"f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))"	"Evaluated"	"F"
"aaaaa5"	"Fecundity"	"theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa5"	"Fecundity"	"iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa5"	"Fecundity"	"kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa5"	"Fecundity"	"f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)"	"Substituted"	"F"
"aaaaa5"	"Fecundity"	"mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa5"	"Fecundity"	"nu = nu_phi0 + nu_phi1*tot_rain + nu_phi2*d_temp"	"Evaluated"	"F"
"aaaaa6"	"Survival"	"s = exp(alpha+beta*size_1)/(1+exp(alpha+beta*size_1))"	"Evaluated"	"P"
"aaaaa6"	"Survival"	"alpha = alpha_phi0 + alpha_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa6"	"Survival"	"beta = beta_phi0 + beta_phi1*tot_rain+alpha_phi2*d_temp"	"Evaluated"	"P"
"aaaaa6"	"Growth"	"g = (((gamma+ delta* size_2^epsilon)/(zeta + eta*size_2))^(zeta+eta*size_2)*y^(zeta+eta*size_2-1)*exp((gamma+delta*size_2^epsilon*y)/(zeta+eta*size_2)))/g_gam"	"Evaluated"	"P"
"aaaaa6"	"Growth"	"g_gam = Gamma(zeta+eta*size_2)"	"Substituted"	"P"
"aaaaa6"	"Growth"	"gamma = gamma_phi0 + gamma_phi1*tot_rain+gamma_phi2*d_temp"	"Evaluated"	"P"
"aaaaa6"	"Growth"	"delta = delta_phi0+ delta_phi1*tot_rain+delta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa6"	"Growth"	"epsilon = epsilon_phi0 + epsilon_phi1*tot_rain+epsilon_phi2*d_temp"	"Evaluated"	"P"
"aaaaa6"	"Growth"	"zeta = zeta_phi0 + zeta_phi1 * tot_rain + zeta_phi2 * d_temp"	"Evaluated"	"P"
"aaaaa6"	"Growth"	"eta = eta_phi0 + eta_phi1*tot_rain + eta_phi2*d_temp"	"Evaluated"	"P"
"aaaaa6"	"Growth"	"y = gamma + delta * size_2^epsilon"	"Evaluated"	"P"
"aaaaa6"	"Fecundity"	"f_1 = ifelse(size_1 < C, 0, theta*exp(iota+(kappa*ln(size_1))))"	"Evaluated"	"F"
"aaaaa6"	"Fecundity"	"theta = theta_phi0 + theta_phi1 * tot_rain + theta_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa6"	"Fecundity"	"iota = iota_phi0 + iota_phi1 * tot_rain + iota_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa6"	"Fecundity"	"kappa = kappa_phi0 + kappa_phi1 * tot_rain + kappa_phi2 * d_temp"	"Evaluated"	"F"
"aaaaa6"	"Fecundity"	"f_2 = (mu^nu*y^(nu-1)*exp(-mu*y))/Gamma(nu)"	"Substituted"	"F"
"aaaaa6"	"Fecundity"	"mu = mu_phi0 + mu_phi1*tot_rain + mu_phi2*d_temp"	"Evaluated"	"F"
