"ipm_id","kernel_id","formula","model_family","domain_start","domain_end"
"aaaa29","inBG_le","inBG_le = goBG_le * d_size","CD","size",NA
"aaaa29","K_le","n_size_t_1_le = mat_mult(K_le, n_size_t); n_biggest_t_1_le = mat_mult(inBG_le, n_size_t) + mat_mult(stayBG_le, n_biggest_t)","iteration_procedure","size","size"
"aaaa30","K_le","K_le = P_le","IPM","size","size"
"aaaa30","P_le","P_le = s_le * g_le * d_size","CC","size","size"
"aaaa30","stayBG_le","stayBG_le = sbg_le * biggest_1","DD",NA,NA
"aaaa30","inBG_le","inBG_le = goBG_le * d_size","CD","size",NA
"aaaa30","K_le","n_size_t_1_le = mat_mult(K_le, n_size_t); n_biggest_t_1_le = mat_mult(inBG_le, n_size_t) + mat_mult(stayBG_le, n_biggest_t)","iteration_procedure","size","size"
"aaaa31","K_le","K_le = P_le","IPM","size","size"
"aaaa33","K_yr","K_yr = P_yr + F_yr","IPM","nrosettes","nrosettes"
"aaaa33","P_yr","P_yr = s_yr * g_yr * d_nrosettes","CC","nrosettes","nrosettes"
"aaaa33","F_yr","F_yr = f_p_yr * f_n_yr * sdl_p_yr * sdl_s_yr * d_nrosettes","CC","nrosettes","nrosettes"
"aaaa34","K","K = P + F","IPM","lnsize","lnsize"
"aaaa34","P","P = s * g * d_lnsize","CC","lnsize","lnsize"
"aaaa34","F","F = r * fn * pE * d * d_lnsize","CC","lnsize","lnsize"
"aaaa35","K","K = P + F","IPM","lnsize","lnsize"
"aaaa35","P","P = s * g * d_lnsize","CC","lnsize","lnsize"
"aaaa35","F","F = r * fn * pE * d * d_lnsize","CC","lnsize","lnsize"
"aaaa36","K","K = P + F","IPM","lnsize","lnsize"
"aaaa36","P","P = s * g * d_lnsize","CC","lnsize","lnsize"
"aaaa36","F","F = r * fn * pE * d * d_lnsize","CC","lnsize","lnsize"
"aaaa37","K","K = P + F","IPM","lnsize","lnsize"
"aaaa37","P","P = s * g * d_lnsize","CC","lnsize","lnsize"
"aaaa37","F","F = r * fn * pE * d * d_lnsize","CC","lnsize","lnsize"
"aaaa38","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa38","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa38","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa39","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa39","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa39","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa40","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa40","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa40","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa41","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa41","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa41","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa42","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa42","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa42","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa43","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa43","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa43","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa44","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa44","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa44","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa45","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa45","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa45","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa46","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa46","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa46","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa47","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa47","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa47","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa48","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa48","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa48","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa49","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa49","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa49","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa50","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa50","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa50","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa51","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa51","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa51","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa52","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa52","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa52","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa53","K_yr_pl","K_yr_pl = P_yr_pl + F_yr_pl","IPM","nleaves","nleaves"
"aaaa53","P_yr_pl","P_yr_pl = s_yr_pl * g_yr_pl * d_nleaves","CC","nleaves","nleaves"
"aaaa53","F_yr_pl","F_yr_pl = f_yr_pl * sdl_p * sdl_size * d_nleaves","CC","nleaves","nleaves"
"aaaa54","K","K = P + F","IPM","lnleaf","lnleaf"
"aaaa54","P","P = p_s * (1-p_f)* g * d_lnleaf","CC","lnleaf","lnleaf"
"aaaa54","F","F = p_s * p_f * f_n * f_d * p_e * d_lnleaf","CC","lnleaf","lnleaf"
"aaaa55","K_yr","n_b2_t_1 = mat_mult(B2_yr, n_b1_t); n_b1_t_1 = mat_mult(B1_yr, n_lnsize_t); n_lnsize_t_1 = mat_mult(P_yr, n_lnsize_t) + mat_mult(B1C_yr, n_b1_t) + mat_mult(B2C_yr, n_b2_t)","iteration_procedure","lnsize","lnsize"
"aaaa55","P_yr","P_yr = s_yr * g_yr * d_lnsize","CC","lnsize","lnsize"
"aaaa55","B1_yr","B1_yr = kappa * delta * p * f * d_lnsize","CD","lnsize",NA
"aaaa55","B2_yr","go_B2 = 1 - iota1","DD",NA,NA
"aaaa55","F_yr","F_yr = p * f * d_lnsize","CD","lnsize","lnsize"
"aaaa55","B1C_yr","B1C_yr =  iota1 * eta * s_r * d_lnsize","DC",NA,"lnsize"
"aaaa55","B2C_yr","B2C_yr = iota2  * eta * s_r * d_lnsize","DC",NA,"lnsize"
"aaaa56","K_tsf_ls_site_block","K_tsf_ls_site_block = P_tsf_ls_site_block + F_tsf_ls_site_block","IPM","logsize","logsize"
"aaaa56","P_tsf_ls_site_block","P_tsf_ls_site_block = s_tsf_ls_site * g_tsf_ls_site + F_tsf_ls_site_block * d_logsize","CC","logsize","logsize"
"aaaa56","F_tsf_ls_site_block","F_tsf_ls_site_block = f1_tsf_ls_site * f2_tsf_ls_site * f3 * sdl_s_tsf_ls * goCont_tsf_block * f4_tsf_ls_site * d_logsize","CC","logsize","logsize"
"aaaa56","SBout_tsf_block","leaveSB_tsf_block = OUTSB_tsf_block * f3 * d_logsize","DC",NA,"logsize"
"aaaa56","B_tsf_ls_site_block","B_tsf_ls_site_block = staySB_tsf_block + goSB_tsf_ls_site_block","IPM","logsize","logsize"
"aaaa56","goSB_tsf_ls_site_block","goSB_tsf_ls_site_block = f0_tsf_ls_site * f1_tsf_ls_site * f2_tsf_ls_site * sdl_s_tsf_ls * goSB_tsf_block * d_logsize","CD","logsize",NA
"aaaa56","staySB_tsf_block","staySB_tsf_ls_site_block = STAYseed_tsf_block","DD",NA,NA
"aaaa57","K","K = P + F","IPM","logrosette","logrosette"
"aaaa57","P","P = s * g * (1 - fl_p) * d_logrosette","CC","logrosette","logrosette"
"aaaa57","F","F = fl_p * f_s * germ_p * ss_p * d_logrosette","CC","logrosette","logrosette"
"aaaa58","K","K = P + F","IPM","logrosette","logrosette"
"aaaa58","P","P = s * g * (1 - fl_p) * d_logrosette","CC","logrosette","logrosette"
"aaaa58","F","F = fl_p * f_s * germ_p * ss_p * d_logrosette","CC","logrosette","logrosette"
"aaaa59","K","K = P + F","IPM","logarea","logarea"
"aaaa59","P","P = s * g * d_logarea","CC","logarea","logarea"
