"ipm_id"	"state_variable"	"domain"	"lower"	"upper"	"kernel_id"	"notes"
"aaaa65"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa66"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa67"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa68"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa69"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa70"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa71"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa72"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa73"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa74"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa75"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa76"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa77"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa78"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa79"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa80"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa81"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa82"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa83"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa84"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa85"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa86"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa87"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa88"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa89"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa90"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa91"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa92"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa93"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa94"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa95"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa96"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa97"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa98"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaaa99"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa100"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa101"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa102"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa103"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa104"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa105"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa106"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa107"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa108"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa109"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa110"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa111"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa112"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa113"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa114"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa115"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa116"	"size"	"size_all"	2	55	"K; P; F"	NA
