"ipm_id","state_variable","discrete"
"aaa189","size",FALSE
"aaa190","size",FALSE
"aaa191","size",FALSE
"aaa192","size",FALSE
"aaa193","size",FALSE
"aaa194","size",FALSE
"aaa195","size",FALSE
"aaa196","size",FALSE
"aaa197","size",FALSE
"aaa198","size",FALSE
"aaa199","size",FALSE
"aaa200","size",FALSE
"aaa201","size",FALSE
"aaa202","size",FALSE
"aaa203","size",FALSE
"aaa204","size",FALSE
"aaa205","size",FALSE
"aaa206","size",FALSE
"aaa207","size",FALSE
"aaa208","size",FALSE
"aaa209","size",FALSE
"aaa210","size",FALSE
"aaa211","size",FALSE
"aaa212","size",FALSE
"aaa213","size",FALSE
"aaa214","size",FALSE
"aaa215","size",FALSE
"aaa216","size",FALSE
"aaa217","size",FALSE
"aaa218","size",FALSE
"aaa219","size",FALSE
"aaa220","size",FALSE
"aaa221","size",FALSE
"aaa222","size",FALSE
"aaa223","size",FALSE
"aaa224","size",FALSE
"aaa225","size",FALSE
"aaa226","size",FALSE
"aaa227","size",FALSE
"aaa228","size",FALSE
"aaa229","size",FALSE
"aaa230","size",FALSE
"aaa231","size",FALSE
"aaa232","size",FALSE
"aaa233","size",FALSE
"aaa234","size",FALSE
"aaa235","size",FALSE
"aaa236","size",FALSE
"aaa237","size",FALSE
"aaa238","size",FALSE
"aaa239","size",FALSE
"aaa240","size",FALSE
"aaa241","size",FALSE
"aaa242","size",FALSE
"aaa243","size",FALSE
"aaa244","size",FALSE
"aaa245","size",FALSE
"aaa246","size",FALSE
"aaa247","size",FALSE
"aaa248","size",FALSE
"aaa249","size",FALSE
"aaa250","size",FALSE
"aaa251","size",FALSE
"aaa252","size",FALSE
"aaa253","size",FALSE
"aaa254","size",FALSE
"aaa255","size",FALSE
"aaa256","size",FALSE
"aaa257","size",FALSE
"aaa258","size",FALSE
"aaa259","size",FALSE
"aaa260","size",FALSE
"aaa261","size",FALSE
"aaa262","size",FALSE
"aaa263","size",FALSE
"aaa264","size",FALSE
"aaa265","size",FALSE
"aaa266","size",FALSE
"aaa267","size",FALSE
"aaa268","size",FALSE
"aaa269","size",FALSE
"aaa270","size",FALSE
"aaa271","size",FALSE
"aaa272","size",FALSE
"aaa273","size",FALSE
"aaa274","size",FALSE
"aaa275","size",FALSE
"aaa276","size",FALSE
"aaa277","size",FALSE
"aaa278","size",FALSE
"aaa279","size",FALSE
"aaa280","size",FALSE
"aaa281","size",FALSE
"aaa282","size",FALSE
"aaa283","size",FALSE
"aaa284","size",FALSE
"aaa285","size",FALSE
"aaa286","size",FALSE
"aaa287","size",FALSE
"aaa288","size",FALSE
"aaa289","size",FALSE
"aaa290","size",FALSE
"aaa291","size",FALSE
"aaa292","size",FALSE
"aaa293","size",FALSE
"aaa294","size",FALSE
"aaa295","size",FALSE
"aaa296","size",FALSE
"aaa297","size",FALSE
"aaa298","size",FALSE
"aaa299","size",FALSE
"aaa300","size",FALSE
"aaa301","size",FALSE
"aaa302","size",FALSE
"aaa303","size",FALSE
"aaa304","size",FALSE
"aaa305","size",FALSE
"aaa306","size",FALSE
"aaa307","size",FALSE
"aaa308","size",FALSE
"aaa309","size",FALSE
"aaa310","size",FALSE
"aaa311","size",FALSE
"aaa312","size",FALSE
"aaa312","seedbank",TRUE
"aaa312","seedling",TRUE
"aaa313","size",FALSE
"aaa313","seedbank",TRUE
"aaa313","seedling",TRUE
"aaa314","size",FALSE
"aaa314","seedbank",TRUE
"aaa314","seedling",TRUE
"aaa315","size",FALSE
"aaa315","seedbank",TRUE
"aaa315","seedling",TRUE
"aaa316","size",FALSE
"aaa316","seedbank",TRUE
"aaa316","seedling",TRUE
"aaa317","size",FALSE
"aaa317","seedbank",TRUE
"aaa317","seedling",TRUE
"aaa318","size",FALSE
"aaa318","seedbank",TRUE
"aaa318","seedling",TRUE
"aaa319","size",FALSE
"aaa320","size",FALSE
"aaa321","size",FALSE
"aaa322","size",FALSE
"aaa322","seedbank",TRUE
"aaa323","size",FALSE
"aaa324","size",FALSE
"aaa325","size",FALSE
"aaa326","size",FALSE
"aaa327","size",FALSE
"aaa327","seedbank",TRUE
"aaa327","seedling",TRUE
"aaa328","rcd",FALSE
"aaa329","rcd",FALSE
"aaa330","size",FALSE
"aaa331","size",FALSE
"aaa332","lnrosette",FALSE
"aaa332","seedbank",TRUE
"aaa333","lnrosette",FALSE
"aaa333","seedbank",TRUE
"aaa334","size",FALSE
"aaa335","dbh",FALSE
"aaa335","seedbank",TRUE
"aaa336","dbh",FALSE
"aaa336","seedbank",TRUE
"aaa337","size",FALSE
"aaa338","size",FALSE
"aaa339","size",FALSE
"aaa339","seeds",TRUE
"aaa340","size",FALSE
"aaa340","seeds",TRUE
"aaa341","size",FALSE
"aaa342","size",FALSE
"aaa343","size",FALSE
"aaa344","lnCV",FALSE
"aaa345","lnCV",FALSE
"aaa346","lnsize",FALSE
"aaa346","seedbank",TRUE
"aaa346","seedling",TRUE
"aaa347","lnsize",FALSE
"aaa347","seedbank",TRUE
"aaa347","seedling",TRUE
"aaa348","lnsize",FALSE
"aaa348","seedbank",TRUE
"aaa348","seedling",TRUE
"aaa349","lnsize",FALSE
"aaa350","lnsize",FALSE
"aaa351","lnsize",FALSE
"aaa352","lnsize",FALSE
"aaa353","lnsize",FALSE
"aaa354","lnsize",FALSE
"aaa355","lnsize",FALSE
"aaa356","lnsize",FALSE
"aaa357","lnsize",FALSE
"aaa358","lnsize",FALSE
"aaa359","lnsize",FALSE
"aaa360","lnsize",FALSE
"aaa361","lnsize",FALSE
"aaa362","lnsize",FALSE
"aaa363","lnsize",FALSE
"aaa364","lnsize",FALSE
"aaa365","lnsize",FALSE
"aaa366","lnsize",FALSE
"aaa367","lnsize",FALSE
"aaa368","lnsize",FALSE
"aaa369","lnsize",FALSE
"aaa370","lnsize",FALSE
"aaa371","lnsize",FALSE
"aaa372","lnsize",FALSE
"aaa373","lnsize",FALSE
"aaa374","lnsize",FALSE
"aaa375","lnsize",FALSE
"aaa376","lnsize",FALSE
"aaa377","lnsize",FALSE
"aaa378","lnsize",FALSE
"aaa379","lnsize",FALSE
"aaa380","lnsize",FALSE
"aaa381","lnD",FALSE
"aaa381","seedbank",TRUE
"aaa382","lnD",FALSE
"aaa382","seedbank",TRUE
"aaa383","lnD",FALSE
"aaa383","seedbank",TRUE
"aaa384","Rvol",FALSE
"aaa385","height",FALSE
"aaa386","height",FALSE
"aaa387","height",FALSE
"aaa388","height",FALSE
"aaa389","lnmass",FALSE
"aaa390","lnmass",FALSE
"aaa391","lnmass",FALSE
"aaa392","lnmass",FALSE
"bbbbb0","size",FALSE
"bbbbb1","size",FALSE
"bbbbb2","size",FALSE
"bbbbb3","size",FALSE
"bbbbb4","size",FALSE
"bbbbb5","size",FALSE
"bbbbb6","size",FALSE
"bbbbb7","size",FALSE
"bbbbb8","dbh",FALSE
"bbbbb9","dbh",FALSE
"bbbb10","dbh",FALSE
"bbbb11","dbh",FALSE
"bbbb12","dbh",FALSE
"bbbb13","dbh",FALSE
"bbbb14","dbh",FALSE
"bbbb15","dbh",FALSE
"bbbb16","dbh",FALSE
"bbbb17","dbh",FALSE
"bbbb18","dbh",FALSE
"bbbb19","dbh",FALSE
"bbbb20","dbh",FALSE
"bbbb21","size",FALSE
"bbbb22","size",FALSE
"bbbb23","size",FALSE
"bbbb24","size",FALSE
"bbbb25","size",FALSE
"bbbb26","size",FALSE
"bbbb27","size",FALSE
"bbbb28","size",FALSE
"bbbb29","size",FALSE
"bbbb30","size",FALSE
"bbbb31","size",FALSE
"bbbb32","size",FALSE
"bbbb33","size",FALSE
"bbbb34","size",FALSE
"bbbb35","size",FALSE
"bbbb36","size",FALSE
"bbbb37","size",FALSE
"bbbb38","size",FALSE
"bbbb39","size",FALSE
"bbbb40","size",FALSE
"bbbb41","size",FALSE
"bbbb42","size",FALSE
"bbbb43","size",FALSE
"bbbb44","size",FALSE
"bbbb45","size",FALSE
"bbbb46","size",FALSE
"bbbb47","size",FALSE
"bbbb48","size",FALSE
"bbbb49","size",FALSE
"bbbb50","size",FALSE
"bbbb51","size",FALSE
"bbbb52","size",FALSE
"bbbb53","size",FALSE
"bbbb54","size",FALSE
"bbbb55","size",FALSE
"bbbb56","size",FALSE
"bbbb57","size",FALSE
"bbbb58","size",FALSE
"bbbb59","size",FALSE
"bbbb60","size",FALSE
"bbbb61","size",FALSE
"bbbb62","size",FALSE
"bbbb63","size",FALSE
"bbbb64","size",FALSE
"bbbb65","size",FALSE
"bbbb66","size",FALSE
"bbbb67","size",FALSE
"bbbb68","size",FALSE
"bbbb69","size",FALSE
"bbbb70","size",FALSE
"bbbb21","seedbank",TRUE
"bbbb22","seedbank",TRUE
"bbbb23","seedbank",TRUE
"bbbb24","seedbank",TRUE
"bbbb25","seedbank",TRUE
"bbbb26","seedbank",TRUE
"bbbb27","seedbank",TRUE
"bbbb28","seedbank",TRUE
"bbbb29","seedbank",TRUE
"bbbb30","seedbank",TRUE
"bbbb31","seedbank",TRUE
"bbbb32","seedbank",TRUE
"bbbb33","seedbank",TRUE
"bbbb34","seedbank",TRUE
"bbbb35","seedbank",TRUE
"bbbb36","seedbank",TRUE
"bbbb37","seedbank",TRUE
"bbbb38","seedbank",TRUE
"bbbb39","seedbank",TRUE
"bbbb40","seedbank",TRUE
"bbbb41","seedbank",TRUE
"bbbb42","seedbank",TRUE
"bbbb43","seedbank",TRUE
"bbbb44","seedbank",TRUE
"bbbb45","seedbank",TRUE
"bbbb46","seedbank",TRUE
"bbbb47","seedbank",TRUE
"bbbb48","seedbank",TRUE
"bbbb49","seedbank",TRUE
"bbbb50","seedbank",TRUE
"bbbb51","seedbank",TRUE
"bbbb52","seedbank",TRUE
"bbbb53","seedbank",TRUE
"bbbb54","seedbank",TRUE
"bbbb55","seedbank",TRUE
"bbbb56","seedbank",TRUE
"bbbb57","seedbank",TRUE
"bbbb58","seedbank",TRUE
"bbbb59","seedbank",TRUE
"bbbb60","seedbank",TRUE
"bbbb61","seedbank",TRUE
"bbbb62","seedbank",TRUE
"bbbb63","seedbank",TRUE
"bbbb64","seedbank",TRUE
"bbbb65","seedbank",TRUE
"bbbb66","seedbank",TRUE
"bbbb67","seedbank",TRUE
"bbbb68","seedbank",TRUE
"bbbb69","seedbank",TRUE
"bbbb70","seedbank",TRUE
