"ipm_id"	"state_variable"	"domain"	"n_meshpoints"	"integration_rule"	"kernel_id"
"aaa174"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa175"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa176"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa177"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa178"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa179"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa180"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa181"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa182"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa183"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa184"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa185"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa186"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa187"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa188"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa189"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa190"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa191"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa192"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa193"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa194"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa195"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa196"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa197"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa198"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa199"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa200"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa201"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa202"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa203"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa204"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa205"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa206"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa207"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa208"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa209"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa210"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa211"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa212"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa213"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa214"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa215"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa216"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa217"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa218"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa219"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa220"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa221"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa222"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa223"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa224"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa225"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa226"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa227"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa228"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa229"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa230"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa231"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa232"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa233"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa234"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa235"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa236"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa237"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa238"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa239"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa240"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa241"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa242"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa243"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa244"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa245"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa246"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa247"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa248"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa249"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa250"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa251"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa252"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa253"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa254"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa255"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa256"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa257"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa258"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa259"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa260"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa261"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa262"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa263"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa264"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa265"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa266"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa267"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa268"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa269"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa270"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa271"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa272"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa273"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa274"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa275"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa276"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa277"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa278"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa279"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa280"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
"aaa281"	"size"	"size_all"	1000	"midpoint"	"K; P; F"
