"ipm_id","demographic_parameter","state_variable","parameter_name","parameter_value"
"aaaa17","Fecundity","size","crr_2011",-0.0202226891424014
"aaaa17","Fecundity","size","crr_2012",-0.0234551639125194
"aaaa17","Fecundity","size","cfp1",-6.89417945525673
"aaaa17","Fecundity","size","cfp2",0.926287986491096
"aaaa17","Fecundity","size","cfp3",2.05685503980862
"aaaa17","Fecundity","size","cfp4",-0.132991658000411
"aaaa17","Fecundity","size","cfp5",-0.267906497786338
"aaaa17","Fecundity","size","cfp6",-0.210460220796776
"aaaa17","Fecundity","size","cfp7",-1.24472493924696
"aaaa17","Fecundity","size","cfp8",0.344381271202209
"aaaa17","Fecundity","size","crpr_2004",0.212318613770015
"aaaa17","Fecundity","size","crpr_2005",0.105612699071874
"aaaa17","Fecundity","size","crpr_2006",-0.0717268729557132
"aaaa17","Fecundity","size","crpr_2007",-0.207567375778495
"aaaa17","Fecundity","size","crpr_2008",-0.236760142862902
"aaaa17","Fecundity","size","crpr_2009",-0.0790969338070563
"aaaa17","Fecundity","size","crpr_2010",0.159258378752268
"aaaa17","Fecundity","size","crpr_2011",0.111633500337107
"aaaa17","Fecundity","size","crpr_2012",0.00826023217302381
"aaaa18","General","constant","expp",1
"aaaa18","General","constant","wett",0
"aaaa18","Fecundity","constant","rcsz_mu",0.77
"aaaa18","Fecundity","constant","yearling_s",0.01
"aaaa18","Fecundity","constant","rcsz_sd",0.65
"aaaa18","Fecundity","constant","nseed",1.45454545454545
"aaaa18","Survival","size","cfs1",0.7378323608815
"aaaa18","Survival","size","cfs2",0.747830089317073
"aaaa18","Survival","size","cfs3",-0.911567374891314
"aaaa18","Survival","size","cfs4",-0.0439813979058757
"aaaa18","Survival","size","cfs5",-0.039650260015074
"aaaa18","Survival","size","cfs6",-0.193060092126203
"aaaa18","Survival","size","cfs7",0.755864550725363
"aaaa18","Survival","size","cfs8",0.327704138244785
"aaaa18","Survival","size","crs_2004",0.0453703585618482
"aaaa18","Survival","size","crs_2005",-0.0312245096782516
"aaaa18","Survival","size","crs_2006",-0.0148103372024359
"aaaa18","Survival","size","crs_2007",-0.143866244485244
"aaaa18","Survival","size","crs_2008",0.0364545497372856
"aaaa18","Survival","size","crs_2009",0.0256177088050327
"aaaa18","Survival","size","crs_2010",0.0943758078567985
"aaaa18","Survival","size","crs_2011",-0.0150806853319471
"aaaa18","Survival","size","crs_2012",-0.00623607539329205
"aaaa18","Growth","size","cfg1",0.363138614253371
"aaaa18","Growth","size","cfg2",0.956894124284498
"aaaa18","Growth","size","cfg3",0.264587915910216
"aaaa18","Growth","size","cfg4",0.104304107969827
"aaaa18","Growth","size","cfg5",-0.0265488024237847
"aaaa18","Growth","size","cfg6",-0.0171475684475507
"aaaa18","Growth","size","cfg7",-0.27665818866659
"aaaa18","Growth","size","cfg8",0.0385997118134447
"aaaa18","Growth","size","crp_2004",0.212318613770015
"aaaa18","Growth","size","crp_2005",0.105612699071874
"aaaa18","Growth","size","crp_2006",-0.0717268729557132
"aaaa18","Growth","size","crp_2007",-0.207567375778495
"aaaa18","Growth","size","crp_2008",-0.236760142862902
"aaaa18","Growth","size","crp_2009",-0.0790969338070563
"aaaa18","Growth","size","crp_2010",0.159258378752268
"aaaa18","Growth","size","crp_2011",0.111633500337107
"aaaa18","Growth","size","crp_2012",0.00826023217302381
"aaaa18","Fecundity","size","cfv1",1.45970342540492
"aaaa18","Fecundity","size","cfv2",-0.111892594816879
"aaaa18","Fecundity","size","cfr1",-2.38520144082082
"aaaa18","Fecundity","size","cfr2",0.420870358754151
"aaaa18","Fecundity","size","cfr3",0.534514776128557
"aaaa18","Fecundity","size","cfr4",0.917365900873783
"aaaa18","Fecundity","size","cfr5",-0.0324398987622421
"aaaa18","Fecundity","size","cfr6",-0.131950773585914
"aaaa18","Fecundity","size","cfr7",-0.304429268247232
"aaaa18","Fecundity","size","cfr8",0.0595301353548973
"aaaa18","Fecundity","size","crr_2004",0.339714075582858
"aaaa18","Fecundity","size","crr_2005",-0.00651810960024056
"aaaa18","Fecundity","size","crr_2006",-0.0798700437281181
"aaaa18","Fecundity","size","crr_2007",-0.166402810540731
"aaaa18","Fecundity","size","crr_2008",-0.202716965760967
"aaaa18","Fecundity","size","crr_2009",0.0595673022755849
"aaaa18","Fecundity","size","crr_2010",0.106021939572229
"aaaa18","Fecundity","size","crr_2011",-0.0202226891424014
"aaaa18","Fecundity","size","crr_2012",-0.0234551639125194
"aaaa18","Fecundity","size","cfp1",-6.89417945525673
"aaaa18","Fecundity","size","cfp2",0.926287986491096
"aaaa18","Fecundity","size","cfp3",2.05685503980862
"aaaa18","Fecundity","size","cfp4",-0.132991658000411
"aaaa18","Fecundity","size","cfp5",-0.267906497786338
"aaaa18","Fecundity","size","cfp6",-0.210460220796776
"aaaa18","Fecundity","size","cfp7",-1.24472493924696
"aaaa18","Fecundity","size","cfp8",0.344381271202209
"aaaa18","Fecundity","size","crpr_2004",0.212318613770015
"aaaa18","Fecundity","size","crpr_2005",0.105612699071874
"aaaa18","Fecundity","size","crpr_2006",-0.0717268729557132
"aaaa18","Fecundity","size","crpr_2007",-0.207567375778495
"aaaa18","Fecundity","size","crpr_2008",-0.236760142862902
"aaaa18","Fecundity","size","crpr_2009",-0.0790969338070563
"aaaa18","Fecundity","size","crpr_2010",0.159258378752268
"aaaa18","Fecundity","size","crpr_2011",0.111633500337107
"aaaa18","Fecundity","size","crpr_2012",0.00826023217302381
"aaaa19","General","constant","expp",0
"aaaa19","General","constant","wett",1
"aaaa19","Fecundity","constant","rcsz_mu",0.77
"aaaa19","Fecundity","constant","yearling_s",1
"aaaa19","Fecundity","constant","rcsz_sd",0.65
"aaaa19","Fecundity","constant","nseed",0.454545454545455
"aaaa19","Survival","size","cfs1",0.7378323608815
"aaaa19","Survival","size","cfs2",0.747830089317073
"aaaa19","Survival","size","cfs3",-0.911567374891314
"aaaa19","Survival","size","cfs4",-0.0439813979058757
"aaaa19","Survival","size","cfs5",-0.039650260015074
"aaaa19","Survival","size","cfs6",-0.193060092126203
"aaaa19","Survival","size","cfs7",0.755864550725363
"aaaa19","Survival","size","cfs8",0.327704138244785
"aaaa19","Survival","size","crs_2004",0.0453703585618482
"aaaa19","Survival","size","crs_2005",-0.0312245096782516
"aaaa19","Survival","size","crs_2006",-0.0148103372024359
"aaaa19","Survival","size","crs_2007",-0.143866244485244
"aaaa19","Survival","size","crs_2008",0.0364545497372856
"aaaa19","Survival","size","crs_2009",0.0256177088050327
"aaaa19","Survival","size","crs_2010",0.0943758078567985
"aaaa19","Survival","size","crs_2011",-0.0150806853319471
"aaaa19","Survival","size","crs_2012",-0.00623607539329205
"aaaa19","Growth","size","cfg1",0.363138614253371
"aaaa19","Growth","size","cfg2",0.956894124284498
"aaaa19","Growth","size","cfg3",0.264587915910216
"aaaa19","Growth","size","cfg4",0.104304107969827
"aaaa19","Growth","size","cfg5",-0.0265488024237847
"aaaa19","Growth","size","cfg6",-0.0171475684475507
"aaaa19","Growth","size","cfg7",-0.27665818866659
"aaaa19","Growth","size","cfg8",0.0385997118134447
"aaaa19","Growth","size","crp_2004",0.212318613770015
"aaaa19","Growth","size","crp_2005",0.105612699071874
"aaaa19","Growth","size","crp_2006",-0.0717268729557132
"aaaa19","Growth","size","crp_2007",-0.207567375778495
"aaaa19","Growth","size","crp_2008",-0.236760142862902
"aaaa19","Growth","size","crp_2009",-0.0790969338070563
"aaaa19","Growth","size","crp_2010",0.159258378752268
